Date,OrderID,StoreID,StoreName,Region,City,Channel,CustomerID,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,GrossSales,NetSales,COGS,Profit,Currency,PromoFlag
2024-01-01,O-00642666-6f35-4056-9dc6-8d8201be4c9f,5,Store 5,EMEA,Berlin,Retail,C-100037,100031,Phones Model 31,Technology,Phones,2,401.45,0.0,802.9,802.9,571.65,231.25,USD,False
2024-01-01,O-00642666-6f35-4056-9dc6-8d8201be4c9f,5,Store 5,EMEA,Berlin,Retail,C-100037,100033,Phones Model 33,Technology,Phones,1,1035.35,0.1,1035.35,931.81,564.21,367.6,USD,False
2024-01-01,O-0c3ee29c-55e2-498d-b027-5c73512f908c,16,Store 16,Americas,Sao Paulo,Online,C-100594,100027,Phones Model 27,Technology,Phones,1,355.24,0.0,355.24,355.24,273.36,81.88,USD,False
2024-01-01,O-0c3ee29c-55e2-498d-b027-5c73512f908c,16,Store 16,Americas,Sao Paulo,Online,C-100594,100036,Phones Model 36,Technology,Phones,4,289.92,0.0,1159.7,1159.7,713.92,445.78,USD,False
2024-01-01,O-0d2c4d3a-f78b-4f3e-a85f-b60105c31e60,1,Store 1,EMEA,Cairo,Retail,C-100841,100026,Phones Model 26,Technology,Phones,2,239.07,0.0,478.14,478.14,340.7,137.44,USD,False
2024-01-01,O-104a4445-f407-4808-ad4b-3b29a453d53d,5,Store 5,EMEA,Berlin,Retail,C-101063,100091,Phones Model 91,Technology,Phones,1,1150.95,0.1,1150.95,1035.85,752.77,283.08,USD,False
2024-01-01,O-1ad29425-ef33-4a18-9d8a-753b2f285a88,14,Store 14,APAC,Sydney,Retail,C-100157,100096,Phones Model 96,Technology,Phones,1,324.18,0.2,324.18,259.35,178.38,80.97,USD,True
2024-01-01,O-1ad29425-ef33-4a18-9d8a-753b2f285a88,14,Store 14,APAC,Sydney,Retail,C-100157,100079,Phones Model 79,Technology,Phones,4,630.8,0.0,2523.21,2523.21,1670.77,852.44,USD,True
2024-01-01,O-22a593a4-e0f6-4413-bbab-9cd0f6d309b5,7,Store 7,APAC,Tokyo,Retail,C-100581,100160,Phones Model 160,Technology,Phones,2,1151.11,0.05,2302.21,2187.1,1358.19,828.91,USD,False
2024-01-01,O-22a593a4-e0f6-4413-bbab-9cd0f6d309b5,7,Store 7,APAC,Tokyo,Retail,C-100581,100063,Phones Model 63,Technology,Phones,3,385.58,0.0,1156.75,1156.75,720.28,436.47,USD,False
